"Url","Name","price","posteddate"
"https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Varanasi&cityId=60&templateId=MAKAAN_CITY_LISTING_BUY","properties in Varanasi :Makaan.com","NA","NA"
"https://www.makaan.com/varanasi/balaji-luv-kush-apartment-in-sigra-12119030/4bhk-2466-sqft-apartment","2466 sq ft 4 BHK Apartment for sale at Rs 1.85 crore in Balaji Luv Kush Apartment in Sigra, Varanasi","1.84CrEMI","Posted a month ago"
"https://www.makaan.com/varanasi/builder-project-in-sarnath-11312306/3bhk-3t-1440-sqft-apartment","1440 sq ft 3 BHK 3T Apartment for sale at Rs 52.00 lacs in Project in Sarnath, Varanasi","52LEMI","Posted 5 months ago"
"https://www.makaan.com/varanasi/balaji-luv-kush-apartment-in-sigra-12119029/3bhk-1776-sqft-apartment","1776 sq ft 3 BHK Under Construction property Apartment for sale at Rs 1.33 crore in Balaji Luv Kush Apartment in Sigra, Varanasi","1.33CrEMI","Posted a month ago"
"https://www.makaan.com/varanasi/builder-project-in-pandeypur-11309484/3bhk-3t-1504-sqft-apartment","1504 sq ft 3 BHK 3T Apartment for sale at Rs 70.00 lacs in Project in Pandeypur, Varanasi","70LEMI","Posted 5 months ago"
"https://www.makaan.com/varanasi/balaji-luv-kush-apartment-in-sigra-12119028/3bhk-1577-sqft-apartment","1577 sq ft 3 BHK Under Construction property Apartment for sale at Rs 1.18 crore in Balaji Luv Kush Apartment in Sigra, Varanasi","1.18CrEMI","Posted a month ago"
"https://www.makaan.com/varanasi/rudra-real-estate-aishwaryam-in-shivpur-11309272/2bhk-2t-1445-sqft-apartment","1445 sq ft 2 BHK 2T Apartment for sale at Rs 60.00 lacs in Rudra Real Estate Aishwaryam in Shivpur, Varanasi","60LEMI","Posted 5 months ago"
"https://www.makaan.com/varanasi/builder-project-in-chitaipur-9351832/2bhk-2t-1020-sqft-apartment","1020 sq ft 2 BHK 2T West facing Apartment for sale at Rs 48.00 lacs in Project 2th floor in Chitaipur, Varanasi","48LEMINegotiable","Posted 10 months ago"
"https://www.makaan.com/varanasi/ip-housing-projects-mohansion-in-sunderpur-8610706/3bhk-3t-1500-sqft-apartment","1500 sq ft 3 BHK 3T NorthEast facing Apartment for sale at Rs 70.00 lacs in IP Housing Projects Mohansion 3th floor in Sunderpur, Varanasi","70LEMINegotiable","Posted a year ago"
"https://www.makaan.com/varanasi/rudra-real-estate-buddha-enclave-in-shivpur-7125657/3bhk-2t-1158-sqft-apartment","1158 sq ft 3 BHK 2T Apartment for sale at Rs 43.49 lacs in Rudra Real Estate Buddha Enclave 1th floor in Shivpur, Varanasi","43.49LEMI","Posted a year ago"
"https://www.makaan.com/varanasi/builder-welcome-in-paharia-9355648/2bhk-2t-850-sqft-apartment","850 sq ft 2 BHK 2T NorthWest facing Completed property Apartment for sale at Rs 32.00 lacs in Welcome 2th floor in Paharia, Varanasi","32LEMINegotiable","Posted 9 months ago"
"https://www.makaan.com/varanasi/builder-project-in-sunderpur-9346946/2bhk-2t-911-sqft-apartment","911 sq ft 2 BHK 2T East facing Apartment for sale at Rs 36.00 lacs in Project 3th floor in Sunderpur, Varanasi","36LEMINegotiable","Posted 10 months ago"
"https://www.makaan.com/varanasi/builder-meerapur-basahi-in-bhojuveer-7426266/2bhk-2t-900-sqft-apartment","900 sq ft 2 BHK 2T North facing Apartment for sale at Rs 32.00 lacs in meerapur basahi 4th floor in Bhojuveer, Varanasi","32LEMINegotiable","Posted 10 months ago"
"https://www.makaan.com/varanasi/builder-project-in-sigra-7252674/2bhk-2t-1050-sqft-apartment","1050 sq ft 2 BHK 2T East facing Apartment for sale at Rs 47.00 lacs in Project 3th floor in Sigra, Varanasi","47LEMINegotiable","Posted 2 months ago"
"https://www.makaan.com/varanasi/builder-welcome-in-paharia-9355709/2bhk-2t-850-sqft-apartment","850 sq ft 2 BHK 2T South facing Completed property Apartment for sale at Rs 32.00 lacs in Welcome 2th floor in Paharia, Varanasi","32LEMINegotiable","Posted 10 months ago"
"https://www.makaan.com/varanasi/rudra-real-estate-rudra-ganges-in-chaurhat-9655650/2bhk-2t-895-sqft-apartment","895 sq ft 2 BHK 2T Apartment for sale at Rs 31.24 lacs in Rudra Real Estate Rudra Ganges 7th floor in Chaurhat, Varanasi","31.23LEMINegotiable","Posted 9 months ago"
"https://www.makaan.com/varanasi/builder-duplex-in-shivpur-9842259/5bhk-4t-1700-sqft-apartment","1700 sq ft 5 BHK 4T NorthWest facing Apartment for sale at Rs 50.00 lacs in Duplex 2th floor in Shivpur, Varanasi","50LEMINegotiable","Posted 8 months ago"
"https://www.makaan.com/varanasi/balaji-luv-kush-apartment-in-sigra-12119027/3bhk-1831-sqft-apartment","1831 sq ft 3 BHK Under Construction property Apartment for sale at Rs 1.37 crore in Balaji Luv Kush Apartment in Sigra, Varanasi","1.37CrEMI","Posted a month ago"
"https://www.makaan.com/varanasi/builder-sanjay-apartments-in-nati-imli-road-9346311/5bhk-2t-1700-sqft-apartment","1700 sq ft 5 BHK 2T North facing Apartment for sale at Rs 40.00 lacs in Sanjay Apartments 1th floor in Nati Imli Road, Varanasi","40LEMI","Posted 10 months ago"
"https://www.makaan.com/varanasi/shree-sai-baba-infra-project-sai-gaon-in-kaazi-sarai-12276862/2bhk-1t-718-sqft-apartment","718 sq ft 2 BHK 1T NorthEast facing Apartment for sale at Rs 23.75 lacs in Shree Sai Baba Sai Gaon 9th floor in Kaazi Sarai, Varanasi","23.75LEMI","Posted 10 days ago"
"https://www.makaan.com/varanasi/builder-project-in-sigra-9479010/3bhk-2t-1222-sqft-apartment","1222 sq ft 3 BHK 2T West facing Apartment for sale at Rs 79.43 lacs in Project 2th floor in Sigra, Varanasi","79.43LEMINegotiable","Posted 10 months ago"
"https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Varanasi&cityId=60&templateId=MAKAAN_CITY_LISTING_BUY&page=2","properties in Varanasi :Makaan.com","NA","NA"
"https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Varanasi&cityId=60&templateId=MAKAAN_CITY_LISTING_BUY&page=3","properties in Varanasi :Makaan.com","NA","NA"
"https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Varanasi&cityId=60&templateId=MAKAAN_CITY_LISTING_BUY&page=4","properties in Varanasi :Makaan.com","NA","NA"
"https://www.makaan.com/varanasi/shakuntalam-infradevelopers-shreevinayakam-shivam-in-shivpur-12111914/2bhk-2t-1225-sqft-apartment","1225 sq ft 2 BHK 2T Apartment for sale at Rs 61.00 lacs in Shakuntalam Shreevinayakam Shivam in Shivpur, Varanasi","61LEMINegotiable","Posted a month ago"
"https://www.makaan.com/varanasi/builder-shubh-in-sikraul-12077430/2bhk-2t-1020-sqft-apartment","1020 sq ft 2 BHK 2T East facing Apartment for sale at Rs 46.00 lacs in Shubh 2th floor in Sikraul, Varanasi","46LEMINegotiable","Posted a month ago"
"https://www.makaan.com/varanasi/builder-paradise-garden-in-paharia-9846670/2bhk-2t-850-sqft-apartment","850 sq ft 2 BHK 2T SouthEast facing Apartment for sale at Rs 32.00 lacs in Paradise garden 2th floor in Paharia, Varanasi","32LEMINegotiable","Posted 8 months ago"
"https://www.makaan.com/varanasi/builder-shri-ganpati-apartment-in-ganesh-dham-colony-sunderpur-9676829/3bhk-2t-1409-sqft-apartment","1409 sq ft 3 BHK 2T North facing Apartment for sale at Rs 66.00 lacs in Shri ganpati apartment 1th floor in Ganesh Dham Colony Sunderpur, Varanasi","66LEMINegotiable","Posted 9 months ago"
"https://www.makaan.com/varanasi/builder-vaishnavi-apartment-newada-dlw-varanasi-in-newada-12002121/2bhk-2t-1349-sqft-apartment","1349 sq ft 2 BHK 2T East facing Apartment for sale at Rs 52.46 lacs in Vaishnavi Apartment Newada DLW Varanasi 1th floor in Newada, Varanasi","52.45LEMI","Posted 2 months ago"
"https://www.makaan.com/varanasi/shree-krishna-builders-rudra-banke-bihari-residency-in-pandeypur-12001983/3bhk-2t-1400-sqft-apartment","1400 sq ft 3 BHK 2T East facing Apartment for sale at Rs 60.00 lacs in Shree Krishna Rudra Banke Bihari Residency 4th floor in Pandeypur, Varanasi","60LEMINegotiable","Posted 2 months ago"
"https://www.makaan.com/varanasi/builder-project-in-mahmoorganj-12107807/3bhk-2t-1100-sqft-apartment","1100 sq ft 3 BHK 2T East facing Apartment for sale at Rs 30.00 lacs in Project 0th floor in Mahmoorganj, Varanasi","30LEMINegotiable","Posted a month ago"
"https://www.makaan.com/varanasi/builder-project-in-mahmoorganj-12159932/2bhk-2t-811-sqft-apartment","811 sq ft 2 BHK 2T North facing Apartment for sale at Rs 34.00 lacs in Project 2th floor in Mahmoorganj, Varanasi","34LEMI","Posted a month ago"
"https://www.makaan.com/varanasi/rudra-real-estate-awadh-residency-in-shivpur-7041567/3bhk-2t-1168-sqft-apartment","1168 sq ft 3 BHK 2T Under Construction property Apartment for sale at Rs 58.28 lacs in Rudra Real Estate Awadh Residency 2th floor in Shivpur, Varanasi","58.28LEMI","Posted a year ago"
"https://www.makaan.com/varanasi/builder-project-in-manduwadih-11990380/2bhk-2t-900-sqft-apartment","900 sq ft 2 BHK 2T Apartment for sale at Rs 30.00 lacs in Project 4th floor in Manduwadih, Varanasi","30LEMINegotiable","Posted 2 months ago"
"https://www.makaan.com/varanasi/builder-duplex-in-shivpur-railway-crossing-9609710/5bhk-4t-1700-sqft-apartment","1700 sq ft 5 BHK 4T NorthEast facing Apartment for sale at Rs 50.00 lacs in Duplex 2th floor in Shivpur Railway Crossing, Varanasi","50LEMINegotiable","Posted 9 months ago"
"https://www.makaan.com/varanasi/builder-project-in-bhu-road-9426423/2bhk-2t-1200-sqft-apartment","1200 sq ft 2 BHK 2T Apartment for sale at Rs 55.00 lacs in Project in BHU Road, Varanasi","55LEMI","Posted 10 months ago"
"https://www.makaan.com/varanasi/builder-project-in-paharia-9513647/3bhk-2t-1213-sqft-apartment","1213 sq ft 3 BHK 2T East facing Apartment for sale at Rs 60.00 lacs in Project 4th floor in Paharia, Varanasi","60LEMI","Posted 9 months ago"
"https://www.makaan.com/varanasi/builder-project-in-kanchanpur-11828324/2bhk-2t-825-sqft-apartment","825 sq ft 2 BHK 2T East facing Apartment for sale at Rs 37.13 lacs in Project 4th floor in Kanchanpur, Varanasi","37.12LEMI","Posted 3 months ago"
"https://www.makaan.com/varanasi/builder-dayal-tower-in-durgakund-varanasi-9480985/2bhk-2t-1106-sqft-apartment","1106 sq ft 2 BHK 2T East facing Apartment for sale at Rs 60.00 lacs in Dayal Tower 3th floor in Durgakund Varanasi, Varanasi","60LEMINegotiable","Posted 10 months ago"
"https://www.makaan.com/varanasi/builder-project-in-durgakund-varanasi-11981803/3bhk-2t-1250-sqft-apartment","1250 sq ft 3 BHK 2T West facing Apartment for sale at Rs 75.00 lacs in Project 3th floor in Durgakund Varanasi, Varanasi","75LEMINegotiable","Posted 2 months ago"
"https://www.makaan.com/varanasi/builder-duplex-in-shivpur-9585627/5bhk-2t-1700-sqft-apartment","1700 sq ft 5 BHK 2T NorthWest facing Apartment for sale at Rs 50.00 lacs in Duplex 2th floor in Shivpur, Varanasi","50LEMINegotiable","Posted 9 months ago"
"https://www.makaan.com/varanasi/builder-welcome-in-paharia-9355736/1bhk-1t-650-sqft-apartment","650 sq ft 1 BHK 1T South facing Completed property Apartment for sale at Rs 20.00 lacs in Welcome 2th floor in Paharia, Varanasi","20LEMINegotiable","Posted 8 months ago"
"https://www.makaan.com/varanasi/builder-project-in-sankatmochan-saket-nagar-road-11931356/2bhk-1t-1000-sqft-apartment","1000 sq ft 2 BHK 1T Apartment for sale at Rs 50.00 lacs in Project in Sankatmochan Saket Nagar Road, Varanasi","50LEMI","Posted 2 months ago"
"https://www.makaan.com/varanasi/builder-barsana-in-sigra-chauraha-road-7984174/3bhk-2t-1228-sqft-apartment","1228 sq ft 3 BHK 2T North facing Apartment for sale at Rs 55.00 lacs in Barsana 4th floor in Sigra Chauraha Road, Varanasi","55LEMINegotiable","Posted 2 months ago"
"https://www.makaan.com/varanasi/builder-vda-flat-in-ravindrapuri-road-7258642/2bhk-2t-1800-sqft-apartment","1800 sq ft 2 BHK 2T West facing Apartment for sale at Rs 1.05 crore in VDA FLAT 0th floor in Ravindrapuri Road, Varanasi","1.05CrEMINegotiable","Posted a year ago"
"https://www.makaan.com/varanasi/rudra-real-estate-rudra-towers-in-sunderpur-11913950/3bhk-2t-1400-sqft-apartment","1400 sq ft 3 BHK 2T NorthEast facing Apartment for sale at Rs 65.00 lacs in Rudra Real Estate Rudra Towers 3th floor in Sunderpur, Varanasi","65LEMI","Posted 2 months ago"
"https://www.makaan.com/varanasi/builder-project-in-manduwadih-3543659/1bhk-1t-750-sqft-apartment","750 sq ft 1 BHK 1T East facing Apartment for sale at Rs 30.00 lacs in Project 2th floor in Manduwadih, Varanasi","30LEMI","Posted a year ago"
"https://www.makaan.com/varanasi/builder-vda-colony-shivpur-in-shivpur-11959006/1bhk-2t-800-sqft-apartment","800 sq ft 1 BHK 2T East facing Completed property Apartment for sale at Rs 22.00 lacs in VDA Colony Shivpur 2th floor in Shivpur, Varanasi","22LEMINegotiable","Posted 2 months ago"
"https://www.makaan.com/varanasi/builder-welcome-2-in-ashapur-chuaraha-9863559/2bhk-2t-824-sqft-apartment","824 sq ft 2 BHK 2T South facing Apartment for sale at Rs 28.00 lacs in Welcome 2 2th floor in Ashapur Chuaraha, Varanasi","28LEMINegotiable","Posted 8 months ago"
"https://www.makaan.com/varanasi/shree-sai-baba-infra-project-sai-gaon-in-kaazi-sarai-11209100/2bhk-2t-766-sqft-apartment","766 sq ft 2 BHK 2T NorthEast facing Apartment for sale at Rs 25.50 lacs in Shree Sai Baba Sai Gaon 3th floor in Kaazi Sarai, Varanasi","25.5LEMI","Posted 5 months ago"
"https://www.makaan.com/varanasi/builder-project-in-sidhgiribagh-9514249/1bhk-1t-897-sqft-apartment","897 sq ft 1 BHK 1T North facing Apartment for sale at Rs 38.00 lacs in Project 1th floor in Sidhgiribagh, Varanasi","38LEMI","Posted 9 months ago"
"https://www.makaan.com/varanasi/rudra-real-estate-rudra-ganges-in-chaurhat-7126319/3bhk-2t-1175-sqft-apartment","1175 sq ft 3 BHK 2T Apartment for sale at Rs 38.66 lacs in Rudra Real Estate Rudra Ganges 1th floor in Chaurhat, Varanasi","38.65LEMI","Posted a year ago"
"https://www.makaan.com/varanasi/builder-project-in-tarna-11877299/2bhk-2t-1490-sqft-apartment","1490 sq ft 2 BHK 2T Apartment for sale at Rs 60.00 lacs in Project 2th floor in Tarna, Varanasi","60LEMINegotiable","Posted 2 months ago"
"https://www.makaan.com/varanasi/builder-kolkata-popular-apartment-pahariya-varanasi-in-paharia-11789188/2bhk-2t-1360-sqft-apartment","1360 sq ft 2 BHK 2T East facing Apartment for sale at Rs 57.12 lacs in Kolkata popular apartment pahariya varanasi 8th floor in Paharia, Varanasi","57.12LEMINegotiable","Posted 3 months ago"
"https://www.makaan.com/varanasi/builder-project-in-chitaipur-11773375/3bhk-2t-1400-sqft-apartment","1400 sq ft 3 BHK 2T East facing Apartment for sale at Rs 58.10 lacs in Project 1th floor in Chitaipur, Varanasi","58.1LEMINegotiable","Posted 3 months ago"
"https://www.makaan.com/varanasi/builder-project-in-nagwa-9678343/3bhk-3t-1409-sqft-apartment","1409 sq ft 3 BHK 3T North facing Apartment for sale at Rs 66.00 lacs in Project in Nagwa, Varanasi","66LEMI","Posted 9 months ago"
"https://www.makaan.com/varanasi/builder-project-in-new-colony-kakarmatta-11746222/3bhk-2t-1350-sqft-apartment","1350 sq ft 3 BHK 2T West facing Apartment for sale at Rs 65.00 lacs in Project 2th floor in New Colony Kakarmatta, Varanasi","65LEMINegotiable","Posted 3 months ago"
"https://www.makaan.com/varanasi/builder-project-in-sigra-11285989/3bhk-2t-1365-sqft-apartment","1365 sq ft 3 BHK 2T Apartment for sale at Rs 55.00 lacs in Project in Sigra, Varanasi","55LEMI","Posted 5 months ago"
"https://www.makaan.com/varanasi/builder-project-in-chetganj-11306366/2bhk-2t-780-sqft-apartment","780 sq ft 2 BHK 2T Apartment for sale at Rs 30.00 lacs in Project in Chetganj, Varanasi","30LEMI","Posted 5 months ago"
"https://www.makaan.com/varanasi/shree-sai-baba-infra-project-sai-gaon-in-kaazi-sarai-11295189/2bhk-766-sqft-apartment","766 sq ft 2 BHK Apartment for sale at Rs 32.50 lacs in Shree Sai Baba Sai Gaon in Kaazi Sarai, Varanasi","32.5LEMI","Posted 5 months ago"
"https://www.makaan.com/varanasi/ashok-kumar-singh-developres-preeti-apartment-in-akatha-11298416/2bhk-2t-1000-sqft-apartment","1000 sq ft 2 BHK 2T Apartment for sale at Rs 40.00 lacs in Ashok Kumar Preeti Apartment in Akatha, Varanasi","40LEMI","Posted 5 months ago"
"https://www.makaan.com/varanasi/builder-project-in-chaukaghat-9238140/5bhk-2t-2000-sqft-apartment","2000 sq ft 5 BHK 2T Apartment for sale at Rs 40.00 lacs in Project in Chaukaghat, Varanasi","40LEMI","Posted 8 months ago"
